"Year","Value"
1991,212.7308292307694
1992,205.39416006097574
1993,206.55256600910485
1994,207.8679711684371
1995,212.2242852807286
1996,218.41798179059177
1997,219.60378452200308
1998,218.65967678300444
1999,223.31954476479507
2000,229.87230500758724
2001,231.88599848254918
2002,236.3304516616313
2003,248.63994259818716
2004,257.2973640483384
2005,265.99714803625375
2006,274.6528897280966
2007,282.7094577039271
2008,287.9230589123865
2009,283.39065407854997
2010,299.4095921450146
2011,309.4556631419937
2012,314.21970543806646
2013,316.9725468277943
2014,319.29069335347447
2015,318.94412084592136
2016,318.6015513595165
2017,323.5494410876133
2018,329.9938806646528
2019,332.4069244712993
2020,317.25947280966784
2021,333.6877749244716
